,selected_features
0,Laptop_Q4_feat1
1,Laptop_Q4_feat3
2,Laptop_Q8_feat2
3,Laptop_Q8_feat5
4,Laptop_Q9_feat2
5,Laptop_Q11_feat2
6,Laptop_Q12_feat1
7,Laptop_Q13_feat4
