,selected_features
0,Q5_feat1
1,Smart_Speaker_Q1_feat1
2,Smart_Speaker_Q2_feat5
3,Smart_Speaker_Q4_feat1
4,Smart_Speaker_Q4_feat3
5,Smart_Speaker_Q5_feat4
6,Smart_Speaker_Q7_feat5
7,Smart_Speaker_Q8_feat1
8,Smart_Speaker_Q8_feat5
9,Smart_Speaker_Q10_feat2
10,Smart_Speaker_Q13_feat4
