,num_features,Accuracy_values,F1_values
0,5,0.8873456790123457,0.8730434782608695
1,10,0.904320987654321,0.89419795221843
2,15,0.904320987654321,0.89419795221843
3,20,0.9058641975308642,0.8960817717206133
4,25,0.9027777777777778,0.8923076923076924
5,30,0.9074074074074074,0.8979591836734693
6,35,0.9027777777777778,0.8923076923076924
7,40,0.9058641975308642,0.8960817717206133
8,45,0.904320987654321,0.89419795221843
9,50,0.8888888888888888,0.8795986622073579
