,num_features,Accuracy_values,F1_values
0,5,0.9398496240601504,0.936
1,10,0.9398496240601504,0.936
2,15,0.9398496240601504,0.936
3,20,0.9398496240601504,0.936
4,25,0.9398496240601504,0.936
5,30,0.9398496240601504,0.936
6,35,0.943609022556391,0.9402390438247012
7,40,0.9398496240601504,0.9365079365079365
8,45,0.9360902255639098,0.9322709163346614
9,50,0.9360902255639098,0.9322709163346614
