,Location,Relationship,raw_scenario,org_scenaio,location_1,location_2,location_3,Relationship_1,Relationship_2,Relationship_3
27,1,2,"Supposeyouwanttoasendatextmessagewhenyouaresurroundedwithpeopleyouarecloseto(e.g.,friends,familymembers)atyourhome.","Suppose you want to a send a text message when you are surrounded with people you are close to (e.g., friends, family members) at your home.",1,0,0,0,1,0
28,1,3,"Supposeyouwanttoasendatextmessagewhenyouaresurroundedbypeopleyouknow(e.g.,acquaintances,colleagues)atyourhome.","Suppose you want to a send a text message when you are surrounded by people you know (e.g., acquaintances, colleagues) at your home.",1,0,0,0,0,1
29,2,2,Supposeyouwanttoasendatextmessagewhenyouarewithaveryclosefriendatarestaurant,Suppose you want to a send a text message when you are with a very close friend at a restaurant ,0,1,0,0,1,0
30,2,3,"Supposeyouwanttoasendatextmessagewhenyouaresurroundedbypeopleyouknow(e.g.,acquaintances,colleagues)atarestaurant.","Suppose you want to a send a text message when you are surrounded by people you know (e.g., acquaintances, colleagues) at a restaurant.",0,1,0,0,0,1
31,3,1,Supposeyouwanttoasendatextmessagewhenyouarealoneatastreet.,Suppose you want to a send a text message when you are alone at a street.,0,0,1,1,0,0
32,3,2,Supposeyouwanttoasendatextmessagewhenyouarewalkingwithaveryclosefriendonastreet,Suppose you want to a send a text message when you are walking with a very close friend on a street,0,0,1,0,1,0
33,3,3,"Supposeyouwanttoasendatextmessagewhenyouwithpeopleyouknow(e.g.,acquaintances,colleagues)atastreet.","Suppose you want to a send a text message when you with people you know (e.g., acquaintances, colleagues) at a street.",0,0,1,0,0,1
34,1,1,Supposeyouwanttoasendanemailwhenyouarealoneathome,Suppose you want to a send an email when you are alone at home,1,0,0,1,0,0
35,1,2,"Supposeyouwanttoasendanemailwhenyouaresurroundedwithpeopleyouarecloseto(e.g.,friends,familymembers)atyourhome.","Suppose you want to a send an email when you are surrounded with people you are close to (e.g., friends, family members) at your home.",1,0,0,0,1,0
36,1,3,"Supposeyouwanttoasendanemailwhenyouaresurroundedbypeopleyouknow(e.g.,acquaintances,colleagues)yourhome.","Suppose you want to a send an email when you are surrounded by people you know (e.g., acquaintances, colleagues) your home.",1,0,0,0,0,1
