,selected_features
0,Q1_feat4
1,Q2_feat5
2,Q10_feat3
3,Tablet_Q1_feat2
4,Tablet_Q2_feat1
5,Tablet_Q2_feat5
6,Tablet_Q4_feat1
7,Tablet_Q4_feat3
8,Tablet_Q5_feat1
9,Tablet_Q7_feat5
10,Tablet_Q8_feat5
11,Tablet_Q10_feat3
12,Tablet_Q11_feat2
13,Tablet_Q12_feat1
14,Tablet_Q12_feat5
15,Tablet_Q13_feat4
