,selected_features
0,Q1_feat2
1,Q3_feat4
2,Smart_Speaker_Q1_feat1
3,Smart_Speaker_Q2_feat5
4,Smart_Speaker_Q4_feat1
5,Smart_Speaker_Q6_feat1
6,Smart_Speaker_Q7_feat5
7,Smart_Speaker_Q10_feat2
8,Smart_Speaker_Q11_feat3
9,Smart_Speaker_Q12_feat5
10,Smart_Speaker_Q13_feat4
11,Relationship_1
