,selected_features
0,Q2_feat2
1,Q4_feat3
2,Q7_feat3
3,Q8_feat2
4,Q8_feat5
5,Q9_feat3
6,Q9_feat6
7,Q10_feat6
8,Q13_feat2
9,Smart_Phone_Q1_feat2
10,Smart_Phone_Q2_feat1
11,Smart_Phone_Q2_feat5
12,Smart_Phone_Q4_feat1
13,Smart_Phone_Q4_feat3
14,Smart_Phone_Q5_feat1
15,Smart_Phone_Q7_feat5
16,Smart_Phone_Q8_feat5
17,Smart_Phone_Q10_feat3
18,Smart_Phone_Q11_feat2
19,Smart_Phone_Q12_feat5
20,Smart_Phone_Q13_feat4
