,ResponseId,device_use,Q20,actual_use,2_Q1,Smart Phone_Q1_feat1,Smart Phone_Q1_feat2,Smart Phone_Q1_feat3,Smart Phone_Q1_feat4,Smart Phone_Q1_feat5,Smart Phone_Q1_feat7,2_Q2,Smart Phone_Q2_feat1,Smart Phone_Q2_feat2,Smart Phone_Q2_feat3,Smart Phone_Q2_feat5,2_Q3,Smart Phone_Q3_feat1,Smart Phone_Q3_feat2,Smart Phone_Q3_feat3,Smart Phone_Q3_feat4,Smart Phone_Q3_feat6,2_Q4,Smart Phone_Q4_feat1,Smart Phone_Q4_feat3,2_Q5,Smart Phone_Q5_feat1,Smart Phone_Q5_feat2,Smart Phone_Q5_feat3,Smart Phone_Q5_feat4,Smart Phone_Q5_feat6,2_Q6,Smart Phone_Q6_feat1,Smart Phone_Q6_feat2,Smart Phone_Q6_feat3,Smart Phone_Q6_feat4,2_Q7,Smart Phone_Q7_feat1,Smart Phone_Q7_feat2,Smart Phone_Q7_feat3,Smart Phone_Q7_feat5,2_Q8,Smart Phone_Q8_feat1,Smart Phone_Q8_feat2,Smart Phone_Q8_feat3,Smart Phone_Q8_feat5,2_Q9,Smart Phone_Q9_feat1,Smart Phone_Q9_feat2,Smart Phone_Q9_feat3,Smart Phone_Q9_feat4,Smart Phone_Q9_feat6,2_Q10,Smart Phone_Q10_feat1,Smart Phone_Q10_feat2,Smart Phone_Q10_feat3,Smart Phone_Q10_feat4,Smart Phone_Q10_feat6,Smart Phone_Q10_feat7,2_Q11,Smart Phone_Q11_feat1,Smart Phone_Q11_feat2,Smart Phone_Q11_feat3,Smart Phone_Q11_feat5,2_Q12,Smart Phone_Q12_feat1,Smart Phone_Q12_feat2,Smart Phone_Q12_feat3,Smart Phone_Q12_feat5,2_Q13,Smart Phone_Q13_feat1,Smart Phone_Q13_feat2,Smart Phone_Q13_feat4
0,R_sOwDvheK5MyDJzb,"1,2,3,4,5,6","2,4",1,"1,2,4",1,1,0,1,0,0,1,1,0,0,0,"2,3",0,1,1,0,0,1,1,0,1,1,0,0,0,0,3,0,0,1,0,"1,2,3",1,1,1,0,3,0,0,1,0,3,0,0,1,0,0,"1,3",1,0,1,0,0,0,"1,2",1,1,0,0,1,1,0,0,0,4,0,0,1
1,R_Zh6Hu0mpI0rTEOJ,"1,2,3,4,5",2,1,"2,5",0,1,0,0,1,0,1,1,0,0,0,"1,2,3",1,1,1,0,0,1,1,0,1,1,0,0,0,0,3,0,0,1,0,3,0,0,1,0,3,0,0,1,0,3,0,0,1,0,0,3,0,0,1,0,0,0,"1,2",1,1,0,0,1,1,0,0,0,1,1,0,0
2,R_22VnihC9Syc6BC2,"1,2,3,4,5,6","2,4",1,"1,2",1,1,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,"1,2,3",1,1,1,0,3,0,0,1,0,3,0,0,1,0,0,"1,3",1,0,1,0,0,0,"1,2",1,1,0,0,"1,3",1,0,1,0,4,0,0,1
3,R_r3GG4BB6PTK0slr,"1,2,3,4,5,6","1,2,4",1,"2,5",0,1,0,0,1,0,1,1,0,0,0,"1,2,3",1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,"1,3",1,0,1,0,3,0,0,1,0,3,0,0,1,0,0,3,0,0,1,0,0,0,"1,2",1,1,0,0,1,1,0,0,0,4,0,0,1
4,R_294c0wY5O51Ckot,"1,2,4,5","2,4",1,"1,2,5",1,1,0,0,1,0,"1,2",1,1,0,0,"1,2,3",1,1,1,0,0,1,1,0,3,0,0,1,0,0,3,0,0,1,0,5,0,0,0,1,"2,3",0,1,1,0,3,0,0,1,0,0,3,0,0,1,0,0,0,"1,2",1,1,0,0,1,1,0,0,0,4,0,0,1
5,R_3R2czFia8WDovZ5,"1,2,3,4,5,6",2,1,"2,5",0,1,0,0,1,0,1,1,0,0,0,"1,3",1,0,1,0,0,3,0,1,1,1,0,0,0,0,3,0,0,1,0,5,0,0,0,1,"2,3",0,1,1,0,3,0,0,1,0,0,"1,3",1,0,1,0,0,0,"1,2",1,1,0,0,1,1,0,0,0,4,0,0,1
6,R_D6TWU81opedQx8Z,"1,2,3,4,5,6","2,4,5",1,"1,2,5",1,1,0,0,1,0,5,0,0,0,1,"1,2",1,1,0,0,0,1,1,0,1,1,0,0,0,0,3,0,0,1,0,5,0,0,0,1,3,0,0,1,0,3,0,0,1,0,0,3,0,0,1,0,0,0,2,0,1,0,0,5,0,0,0,1,4,0,0,1
7,R_1qgn8fonNDVpfVu,"1,2,3,4,5,6","2,4",1,"2,5",0,1,0,0,1,0,3,0,0,1,0,2,0,1,0,0,0,1,1,0,1,1,0,0,0,0,3,0,0,1,0,5,0,0,0,1,2,0,1,0,0,"1,3",1,0,1,0,0,"1,3",1,0,1,0,0,0,2,0,1,0,0,1,1,0,0,0,1,1,0,0
8,R_3KOT4GUJ5Jpt4jj,"1,2,3,4,5,6",3,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
9,R_Og5HqRu6uLDSmaZ,"1,2,4,5,6","2,5,6",1,"2,5",0,1,0,0,1,0,5,0,0,0,1,"1,2,3",1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,5,0,0,0,1,2,0,1,0,0,3,0,0,1,0,0,"1,2,3",1,1,1,0,0,0,2,0,1,0,0,5,0,0,0,1,4,0,0,1
10,R_1KiJ47vnQJg9vvN,"1,2,3,4,5,6",2,1,"2,5",0,1,0,0,1,0,1,1,0,0,0,"1,2",1,1,0,0,0,1,1,0,2,0,1,0,0,0,3,0,0,1,0,"1,2",1,1,0,0,2,0,1,0,0,3,0,0,1,0,0,3,0,0,1,0,0,0,2,0,1,0,0,5,0,0,0,1,4,0,0,1
11,R_3qdNLXI6jo8XEDQ,"1,2,4","2,4",1,"2,5",0,1,0,0,1,0,1,1,0,0,0,"1,2,3",1,1,1,0,0,1,1,0,1,1,0,0,0,0,3,0,0,1,0,5,0,0,0,1,2,0,1,0,0,3,0,0,1,0,0,3,0,0,1,0,0,0,2,0,1,0,0,1,1,0,0,0,1,1,0,0
12,R_Z4bWr3CviU81sit,"1,2,3,4,5,6",2,1,"1,2",1,1,0,0,0,0,5,0,0,0,1,"1,3,4",1,0,1,1,0,1,1,0,1,1,0,0,0,0,3,0,0,1,0,5,0,0,0,1,"2,3",0,1,1,0,3,0,0,1,0,0,"1,2,3",1,1,1,0,0,0,2,0,1,0,0,1,1,0,0,0,1,1,0,0
13,R_2qmTO2l6egv3qBO,"1,2,3,4,5,6","2,6",1,"2,5",0,1,0,0,1,0,5,0,0,0,1,"1,2,3",1,1,1,0,0,1,1,0,1,1,0,0,0,0,3,0,0,1,0,5,0,0,0,1,5,0,0,0,1,3,0,0,1,0,0,"1,3",1,0,1,0,0,0,2,0,1,0,0,1,1,0,0,0,4,0,0,1
14,R_eL3YFLAtRuS2sM1,"1,2,4",1,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
15,R_331nXs70lsz8m3C,"2,4,5,6",2,1,"1,2,5",1,1,0,0,1,0,3,0,0,1,0,"1,2,3",1,1,1,0,0,1,1,0,2,0,1,0,0,0,3,0,0,1,0,5,0,0,0,1,"2,3",0,1,1,0,3,0,0,1,0,0,3,0,0,1,0,0,0,"1,2",1,1,0,0,1,1,0,0,0,1,1,0,0
16,R_1eLZFCqyp8mWxX8,"2,5,6",2,1,2,0,1,0,0,0,0,5,0,0,0,1,"1,2,3",1,1,1,0,0,1,1,0,1,1,0,0,0,0,3,0,0,1,0,"1,2,3",1,1,1,0,5,0,0,0,1,3,0,0,1,0,0,"1,3",1,0,1,0,0,0,2,0,1,0,0,1,1,0,0,0,1,1,0,0
17,R_rcfhxMWX7qcW89z,"1,2,3,4,5","2,5",1,"2,5",0,1,0,0,1,0,5,0,0,0,1,"1,2",1,1,0,0,0,1,1,0,1,1,0,0,0,0,"2,3",0,1,1,0,1,1,0,0,0,5,0,0,0,1,3,0,0,1,0,0,"1,3",1,0,1,0,0,0,2,0,1,0,0,5,0,0,0,1,4,0,0,1
18,R_23V1PpwMMQo8mBJ,"1,2,5",1,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,0,no_values,0,0,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0,0,no_values,0,0,0
