,selected_features
0,Q1_feat4
1,Q1_feat7
2,Q2_feat5
3,Laptop_Q1_feat2
4,Laptop_Q2_feat1
5,Laptop_Q2_feat5
6,Laptop_Q3_feat1
7,Laptop_Q3_feat3
8,Laptop_Q4_feat1
9,Laptop_Q4_feat3
10,Laptop_Q5_feat1
11,Laptop_Q6_feat1
12,Laptop_Q6_feat4
13,Laptop_Q9_feat2
14,Laptop_Q9_feat3
15,Laptop_Q9_feat6
16,Laptop_Q10_feat2
17,Laptop_Q10_feat3
18,Laptop_Q12_feat1
19,Laptop_Q12_feat5
20,Laptop_Q13_feat1
21,Laptop_Q13_feat2
22,Laptop_Q13_feat4
23,location_2
24,location_3
