,selected_features
0,Q2_feat1
1,Q4_feat3
2,Q9_feat3
3,Q10_feat6
4,Q13_feat2
5,Smart_Phone_Q1_feat2
6,Smart_Phone_Q2_feat5
7,Smart_Phone_Q4_feat1
8,Smart_Phone_Q4_feat3
9,Smart_Phone_Q5_feat1
10,Smart_Phone_Q6_feat1
11,Smart_Phone_Q9_feat3
12,Smart_Phone_Q10_feat3
13,Smart_Phone_Q12_feat1
14,Smart_Phone_Q12_feat5
15,Smart_Phone_Q13_feat4
16,location_1
