,Significant features,Coefficients,p-val
0,intercept,-2.8326652224905557,0.0
1,Q1_feat1,0.21391650553073133,4.440892098500626e-16
2,Q1_feat2,0.17366112635379416,6.569060742700472e-06
3,Q1_feat3,0.19349326798545427,1.6541583436335827e-08
4,Q1_feat4,0.1577480098809188,7.64052371149404e-06
5,Q1_feat5,-0.0567566945222157,0.022264755933248503
6,Q2_feat1,0.16493869457287413,0.0002472899341963153
7,Q2_feat2,0.21304973844860944,3.1455378604050566e-06
8,Q2_feat5,-0.4230066394300275,0.0
9,Q3_feat1,-0.23246237087863306,0.0
10,Q3_feat2,-0.04687552499742,0.03309873931308749
11,Q3_feat3,-0.049649766211984414,0.036334739976655595
12,Q3_feat6,-0.1183077703520982,0.021976025905546592
13,Q5_feat1,0.15335714306016252,0.00015489253592493313
14,Q5_feat2,-0.26889259599515913,3.03946023905155e-09
15,Q5_feat4,0.24484178138667406,0.0002553725427976161
16,Q6_feat1,0.15418154378712537,2.2216803642116645e-05
17,Q9_feat1,-0.07248115764207821,0.0034658404776637397
18,Q9_feat2,0.053883209589454105,0.032325444574155204
19,Q9_feat3,0.11725619252183785,0.00041485842829169783
20,Q10_feat2,-0.057531018255038334,0.011322017655020833
21,Q10_feat3,0.18556643527359573,8.278215890555884e-10
22,Q10_feat4,0.5472257541239514,0.0
23,Q10_feat6,0.8964297278810549,0.0
24,Q12_feat1,0.271209353469921,1.5543122344752192e-15
25,Q12_feat2,-0.06683759662273214,0.04795582148526356
26,Q12_feat5,-0.10344610821882169,0.0048748479881615125
27,Q13_feat1,-0.4268088591723874,0.0
28,Q13_feat2,-0.10933905771730539,0.0011686740816849728
29,Smart_Watch_Q1_feat1,0.4126109345200639,0.0
30,Smart_Watch_Q1_feat2,0.7399582773698201,0.0
31,Smart_Watch_Q1_feat7,0.3107098276042073,0.005238343147183411
32,Smart_Watch_Q2_feat1,0.3007607985924657,0.0005813451811362835
33,Smart_Watch_Q2_feat3,0.2272948548512792,0.012767887760571472
34,Smart_Watch_Q2_feat5,0.8548996074301447,0.0
35,Smart_Watch_Q3_feat1,0.30717045789418373,1.176836406102666e-14
36,Smart_Watch_Q3_feat2,0.38793063792423405,0.0
37,Smart_Watch_Q3_feat3,0.606338893070714,0.0
38,Smart_Watch_Q3_feat6,0.38113544685731554,1.1088036699247183e-05
39,Smart_Watch_Q4_feat1,0.7686023020441968,0.0
40,Smart_Watch_Q5_feat1,0.7175499507488391,1.7070789226636407e-12
41,Smart_Watch_Q5_feat2,0.23385856218259568,0.02081471811234148
42,Smart_Watch_Q6_feat1,0.7404822960483174,0.0
43,Smart_Watch_Q6_feat2,0.12989745084963739,0.04511820553375623
44,Smart_Watch_Q6_feat3,0.19967024955200477,0.007667396716392716
45,Smart_Watch_Q6_feat4,0.47703576661348024,3.3487990158675984e-10
46,Smart_Watch_Q9_feat1,0.1885296430150422,6.792885701112361e-05
47,Smart_Watch_Q9_feat2,0.25270813371388395,3.9549726071896885e-07
48,Smart_Watch_Q9_feat3,0.672276422121074,3.1086244689504383e-15
49,Smart_Watch_Q9_feat6,0.438978249616999,4.151826543608017e-05
50,Smart_Watch_Q10_feat1,0.39783540838730524,0.0
51,Smart_Watch_Q10_feat2,0.5360470939557228,0.0
52,Smart_Watch_Q10_feat3,0.6522015994162808,0.0
53,Smart_Watch_Q10_feat4,0.14705147523175666,0.0013824444117715995
54,Smart_Watch_Q12_feat1,0.5678479050579334,6.212363956592526e-12
55,Smart_Watch_Q12_feat3,0.10523339011504713,0.04015147917867856
56,Smart_Watch_Q12_feat5,0.6877291925543948,1.021405182655144e-14
57,Smart_Watch_Q13_feat1,0.3646278393013851,2.3881600541564296e-07
58,Smart_Watch_Q13_feat2,0.26739370592402306,7.261494080035291e-06
59,Smart_Watch_Q13_feat4,0.8212195980257799,0.0
60,location_1,-0.2579526842778477,0.0
61,location_2,0.16971603130742124,2.0672352718520415e-13
62,Relationship_1,-0.11506531210431804,2.3569374296705803e-07
63,Relationship_2,-0.1364992768959124,5.1570323567062815e-09
