,Significant features,Coefficients,p-val
0,intercept,-1.9072559397482043,0.0
1,Q1_feat3,0.14673464718653875,2.266571222042657e-06
2,Q1_feat4,0.22292262339960314,7.704947790898586e-14
3,Q1_feat5,-0.06898833599870825,0.004343812418703186
4,Q1_feat7,0.1448984702725176,0.006004127030966311
5,Q2_feat1,0.13999951460360496,0.0023720401843005945
6,Q2_feat5,-0.1193595982403713,0.013679418136304244
7,Q3_feat6,0.10449365209430385,0.04399806826742125
8,Q4_feat1,-0.07138570655596659,0.0012902130522129962
9,Q5_feat1,0.13580231658902245,0.000294898020547274
10,Q6_feat2,0.10015993568734424,0.0002763386856219352
11,Q9_feat1,0.1458643787864136,1.7464649726406378e-09
12,Q9_feat2,0.05341494613232548,0.025248464466122167
13,Q9_feat3,0.13124884318016689,3.3568056578836547e-06
14,Q10_feat2,0.08140130565786154,0.0006539915142971253
15,Q10_feat3,-0.19065417453016953,1.6597612173541165e-11
16,Q10_feat6,0.14778615027879557,0.0005430483039865486
17,Q12_feat1,0.06451209757073674,0.041827952772393484
18,Q12_feat2,0.07394503640177781,0.011485513463840746
19,Tablet_Q1_feat1,0.12196053021634028,0.02679143592040134
20,Tablet_Q1_feat2,0.5277683610088091,0.0
21,Tablet_Q1_feat3,0.23529772939265403,8.105738302788268e-12
22,Tablet_Q1_feat5,0.130716108886922,0.008219762912379691
23,Tablet_Q2_feat1,0.35826511421647317,0.00013368433138660762
24,Tablet_Q2_feat5,0.3801998041028086,8.520264747202688e-05
25,Tablet_Q3_feat1,0.27885620199119704,8.857359290459499e-13
26,Tablet_Q3_feat2,0.3127683796942158,0.0
27,Tablet_Q3_feat3,0.40141575418117725,0.0
28,Tablet_Q3_feat6,0.17273540604674414,0.026782071366053373
29,Tablet_Q4_feat1,0.5121957330752696,0.0
30,Tablet_Q5_feat1,0.6736512140863867,4.678701870375335e-12
31,Tablet_Q6_feat1,0.392869049571566,1.021405182655144e-11
32,Tablet_Q6_feat2,0.12302657092402662,0.030874811814224357
33,Tablet_Q6_feat3,0.1466993534421851,0.02255427628953144
34,Tablet_Q6_feat4,0.25942044744371073,0.0002497905292437874
35,Tablet_Q9_feat1,0.17158951565953537,1.2731894213802164e-05
36,Tablet_Q9_feat2,0.20562738789088336,9.360608081987465e-07
37,Tablet_Q9_feat3,0.4863967956356372,0.0
38,Tablet_Q9_feat6,0.19269281134922972,0.04614436869723759
39,Tablet_Q10_feat2,0.2315457218264415,5.1466386707943457e-11
40,Tablet_Q10_feat3,0.5976118716336098,0.0
41,Tablet_Q12_feat1,0.30090312214486425,8.300534704019924e-09
42,Tablet_Q12_feat3,0.11636667204168824,0.025664788693129825
43,Tablet_Q12_feat5,0.46980018557943976,3.1086244689504383e-15
44,Tablet_Q13_feat1,0.2715631871845524,1.3401268943447064e-06
45,Tablet_Q13_feat2,0.24670842042087507,1.6385558352371987e-06
46,Tablet_Q13_feat4,0.47998351000728673,3.853095620343083e-11
47,location_1,0.11227785211352133,2.1911064267410296e-06
