,selected_features,ranking
0,Q1_feat2,1
9,Smart_Phone_Q1_feat2,1
15,Smart_Phone_Q10_feat3,1
14,Smart_Phone_Q7_feat5,1
13,Smart_Phone_Q7_feat1,1
12,Smart_Phone_Q4_feat3,1
11,Smart_Phone_Q4_feat1,1
10,Smart_Phone_Q2_feat5,1
8,Q13_feat2,1
1,Q1_feat7,1
7,Q10_feat6,1
6,Q9_feat6,1
5,Q8_feat5,1
4,Q8_feat2,1
3,Q4_feat3,1
2,Q2_feat5,1
16,Smart_Phone_Q11_feat2,1
