,selected_features,ranking
0,Q5_feat1,1
1,Smart_Speaker_Q1_feat1,1
2,Smart_Speaker_Q2_feat5,1
3,Smart_Speaker_Q4_feat1,1
4,Smart_Speaker_Q4_feat3,1
5,Smart_Speaker_Q5_feat4,1
6,Smart_Speaker_Q7_feat5,1
7,Smart_Speaker_Q8_feat1,1
8,Smart_Speaker_Q8_feat5,1
9,Smart_Speaker_Q10_feat2,1
10,Smart_Speaker_Q13_feat4,1
