,selected_features,ranking
0,Laptop_Q4_feat1,1
1,Laptop_Q4_feat3,1
2,Laptop_Q8_feat2,1
3,Laptop_Q8_feat5,1
4,Laptop_Q9_feat2,1
5,Laptop_Q11_feat2,1
6,Laptop_Q12_feat1,1
7,Laptop_Q13_feat4,1
