,selected_features,ranking
0,Smart_Watch_Q2_feat3,1
1,Smart_Watch_Q2_feat5,1
2,Smart_Watch_Q4_feat1,1
3,Smart_Watch_Q5_feat1,1
4,Smart_Watch_Q6_feat1,1
5,Smart_Watch_Q8_feat5,1
6,Smart_Watch_Q11_feat2,1
7,Smart_Watch_Q11_feat5,1
8,Smart_Watch_Q13_feat4,1
