,selected_features
0,Smart_Speaker_Q1_feat1
1,Smart_Speaker_Q2_feat5
2,Smart_Speaker_Q4_feat1
3,Smart_Speaker_Q4_feat3
4,Smart_Speaker_Q6_feat1
5,Smart_Speaker_Q6_feat4
6,Smart_Speaker_Q10_feat2
7,Smart_Speaker_Q12_feat5
8,Smart_Speaker_Q13_feat2
9,Smart_Speaker_Q13_feat4
