,selected_features
0,Desktop_Computer_Q3_feat1
1,Desktop_Computer_Q4_feat1
2,Desktop_Computer_Q4_feat3
3,Desktop_Computer_Q6_feat1
4,Desktop_Computer_Q6_feat4
5,Desktop_Computer_Q9_feat3
6,Desktop_Computer_Q10_feat3
