,selected_features
0,Q10_feat6
1,Smart_Phone_Q2_feat5
2,Smart_Phone_Q4_feat1
3,Smart_Phone_Q4_feat3
4,Smart_Phone_Q5_feat1
5,Smart_Phone_Q6_feat1
6,Smart_Phone_Q10_feat3
7,Smart_Phone_Q12_feat1
8,Smart_Phone_Q12_feat5
9,Smart_Phone_Q13_feat1
10,Smart_Phone_Q13_feat4
11,location_1
