,selected_features
0,Laptop_Q2_feat5
1,Laptop_Q3_feat3
2,Laptop_Q4_feat1
3,Laptop_Q5_feat1
4,Laptop_Q5_feat6
5,Laptop_Q6_feat1
6,Laptop_Q6_feat2
7,Laptop_Q6_feat4
8,Laptop_Q9_feat2
9,Laptop_Q9_feat3
10,Laptop_Q9_feat6
11,Laptop_Q10_feat2
12,Laptop_Q10_feat3
13,Laptop_Q12_feat1
14,Laptop_Q12_feat3
15,Laptop_Q12_feat5
16,Laptop_Q13_feat1
17,Laptop_Q13_feat2
18,Laptop_Q13_feat4
