,selected_features
0,Smart_Speaker_Q1_feat1
1,Smart_Speaker_Q2_feat5
2,Smart_Speaker_Q10_feat2
3,Smart_Speaker_Q13_feat2
4,Smart_Speaker_Q13_feat4
