,selected_features
0,Q3_feat1
1,Q6_feat1
2,Q6_feat4
3,Q10_feat1
4,Q10_feat2
5,Q10_feat6
6,Q10_feat7
7,Q13_feat1
8,Q13_feat2
9,Smart_Phone_Q1_feat2
10,Smart_Phone_Q2_feat5
11,Smart_Phone_Q4_feat1
12,Smart_Phone_Q5_feat1
13,Smart_Phone_Q9_feat3
14,Smart_Phone_Q10_feat3
15,Smart_Phone_Q12_feat5
16,Smart_Phone_Q13_feat1
17,Smart_Phone_Q13_feat4
18,location_1
