,selected_features
0,Q9_feat4
1,Desktop_Computer_Q4_feat1
2,Desktop_Computer_Q4_feat3
3,Desktop_Computer_Q5_feat1
4,Desktop_Computer_Q6_feat1
5,Desktop_Computer_Q6_feat4
6,Desktop_Computer_Q8_feat2
7,Desktop_Computer_Q8_feat5
8,Desktop_Computer_Q10_feat3
