,selected_features
0,Q1_feat3
1,Q1_feat4
2,Q1_feat5
3,Q1_feat7
4,Q2_feat2
5,Q2_feat3
6,Q2_feat5
7,Q4_feat1
8,Q4_feat3
9,Q5_feat1
10,Q5_feat2
11,Q5_feat3
12,Q5_feat6
13,Q6_feat1
14,Q6_feat3
15,Q6_feat4
16,Q7_feat1
17,Q7_feat5
18,Q8_feat1
19,Q8_feat2
20,Q8_feat5
21,Q9_feat2
22,Q9_feat3
23,Q9_feat4
24,Q10_feat1
25,Q10_feat2
26,Q10_feat4
27,Q10_feat7
28,Q11_feat2
29,Q11_feat5
30,Q12_feat2
31,Q12_feat3
32,Q13_feat2
33,Q13_feat4
