,selected_features
0,Smart_Watch_Q2_feat3
1,Smart_Watch_Q2_feat5
2,Smart_Watch_Q4_feat1
3,Smart_Watch_Q5_feat1
4,Smart_Watch_Q6_feat1
5,Smart_Watch_Q8_feat5
6,Smart_Watch_Q9_feat3
7,Smart_Watch_Q11_feat2
8,Smart_Watch_Q11_feat5
9,Smart_Watch_Q13_feat4
