,selected_features
0,Q1_feat2
1,Q1_feat3
2,Q1_feat4
3,Q2_feat1
4,Q2_feat2
5,Q3_feat3
6,Q4_feat1
7,Q4_feat3
8,Q5_feat2
9,Q5_feat3
10,Q5_feat4
11,Q5_feat6
12,Q7_feat1
13,Q7_feat2
14,Q7_feat3
15,Q8_feat1
16,Q8_feat2
17,Q8_feat3
18,Q8_feat5
19,Q9_feat3
20,Q9_feat6
21,Q10_feat1
22,Q10_feat2
23,Q10_feat3
24,Q10_feat6
25,Q10_feat7
26,Q11_feat1
27,Q11_feat3
28,Q12_feat2
29,Q13_feat2
30,Q13_feat4
31,location_1
