,selected_features
0,Q1_feat2
1,Q1_feat4
2,Q2_feat1
3,Q2_feat3
4,Q2_feat5
5,Q3_feat2
6,Q5_feat6
7,Q7_feat2
8,Q8_feat1
9,Q9_feat4
10,Q11_feat5
11,Q12_feat2
12,location_1
