,selected_features
0,Q1_feat1
1,Q3_feat1
2,Q5_feat1
3,Q5_feat6
4,Q6_feat3
5,Q7_feat2
6,Q7_feat3
7,Q8_feat1
8,Q8_feat2
9,Q8_feat5
10,Q9_feat3
11,Q10_feat1
12,Q10_feat3
13,Q10_feat4
14,Q10_feat7
15,Q11_feat2
16,Q11_feat3
17,Q11_feat5
18,Q13_feat4
19,location_1
