,selected_features
0,Smart_Speaker_Q1_feat1
1,Smart_Speaker_Q2_feat5
2,Smart_Speaker_Q4_feat1
3,Smart_Speaker_Q4_feat3
4,Smart_Speaker_Q5_feat4
5,Smart_Speaker_Q6_feat1
6,Smart_Speaker_Q7_feat5
7,Smart_Speaker_Q8_feat1
8,Smart_Speaker_Q8_feat2
9,Smart_Speaker_Q8_feat5
10,Smart_Speaker_Q10_feat2
11,Smart_Speaker_Q12_feat5
12,Smart_Speaker_Q13_feat2
13,Smart_Speaker_Q13_feat4
