"","Q2_feat1","Q2_feat5","Q8_feat5","Q13_feat4","Smart_Phone_Q1_feat2","Smart_Phone_Q2_feat1","Smart_Phone_Q2_feat3","Smart_Phone_Q2_feat5","Smart_Phone_Q4_feat1","Smart_Phone_Q5_feat1","Smart_Phone_Q5_feat6","Smart_Phone_Q6_feat1","Smart_Phone_Q6_feat3","Smart_Phone_Q6_feat4","Smart_Phone_Q7_feat5","Smart_Phone_Q8_feat2","Smart_Phone_Q8_feat5","Smart_Phone_Q9_feat3","Smart_Phone_Q10_feat3","Smart_Phone_Q11_feat2","Smart_Phone_Q11_feat5","Smart_Phone_Q12_feat1","Smart_Phone_Q12_feat5","Smart_Phone_Q13_feat2","Smart_Phone_Q13_feat4"
"Q11_feat3",0.0808991726845035,-0.122812002527436,-0.213030511395065,-0.133647385562068,0.00949665322804189,0.0748062074960534,0.115254757177594,-0.0987739073438855,0.0270502666370857,-0.0276541033890347,-0.0707673424074495,-0.029635533490906,0.140306589077677,-0.0687835255788153,-0.148468088167352,0.0929003795755803,-0.127081658940621,0.0128577795033046,0.0389993167579277,0.00785682528309307,-0.0938827424776805,0.0695285811124139,-0.104011115230891,0.107750688924746,-0.129162279812998
"Q11_feat5",-0.168057830605573,0.232074796284884,0.300803733670264,0.16085991950323,-0.117638673267513,-0.07598785575788,-0.0663951444448868,0.222832953175894,-0.0709351463986787,-0.0879944269939106,0.505423758158423,-0.0668242249424622,-0.101509836260246,0.395858511906764,0.232579183749957,-0.127724772366078,0.277972013239218,-0.143064006061256,-0.120564801921726,-0.155835811523494,0.486593977890435,-0.0954325820551238,0.256676009563744,-0.103499325041457,0.231480676541992
"Q12_feat1",0.247939714516442,-0.234933074158826,-0.240237309024218,-0.370388224568639,0.0469606702134517,0.138358011388939,0.0540808056884276,-0.136985092016143,0.0983720436845892,0.00249886478567595,-0.144328162841614,-0.00593793164779505,0.0844637518013236,-0.097663019705461,-0.232998402534659,0.0700189636312159,-0.136912614910876,-0.0431475932488084,-0.00278022020470004,0.00874170431237658,-0.112673599245726,0.305586562138311,-0.286850726282985,0.133771919493175,-0.178066284741551
"Q12_feat2",0.215156568982765,-0.22678904178673,-0.269961135183902,-0.28888915325746,0.0396114590115011,0.111071989254218,0.119984478063376,-0.128142880876712,0.0375798020162798,-0.0129268498830058,-0.0935569146557554,-0.0497513247584327,0.142476223568669,-0.109796872967093,-0.222505993024851,0.139322932679086,-0.159550195293192,-0.0109913333478258,0.0590564936809247,0.056049198896372,-0.106264957857132,0.139825842150966,-0.190905155827252,0.206610946194379,-0.177940899589057
"Q12_feat3",0.153592585528091,-0.16758026590024,-0.223791634890253,-0.289160735129786,0.0827628275963663,0.122629567225455,0.134846297049436,-0.117750923873921,0.0806627950647021,0.0285629633759563,-0.0966162323275866,-0.00227219646696286,0.131808334580119,-0.101746906860395,-0.197425938345516,0.149440360628783,-0.127358505755701,0.0373571911599502,0.0774931525283266,0.0735428979685509,-0.111045742184293,0.12049584166444,-0.198727073570024,0.21241753633076,-0.160650848336505
"Q12_feat5",-0.232634203085786,0.271535484497217,0.294593043537879,0.42269274810173,-0.0652225343726636,-0.160756333734748,-0.0576381572979892,0.180563094748321,-0.114452148476821,-0.0149256177811004,0.197221854387158,0.0107942307560597,-0.0760038307505511,0.152346514120886,0.290485037406403,-0.0942551059180029,0.18538650988134,0.0404508000225034,-0.00787775540696787,-0.0434189615297226,0.171596736270757,-0.270469265681989,0.366042451808859,-0.197849823672549,0.228017886050225
"Q13_feat1",0.154448176875874,-0.193008565224334,-0.165806435295043,-0.685931192409694,0.0189432279792755,0.101367856224744,0.084666393389555,-0.136488994945838,0.0591091951669223,0.0171890961835282,-0.110742431909296,-0.00832904791941939,0.095355690681024,-0.0916819357376025,-0.122577509736692,0.0449189252618367,-0.110629957553694,0.0299033949171124,0.0114318129775735,-0.00334678765588376,-0.10729743252302,0.130017135416408,-0.166967493633005,0.130616111340702,-0.265324524791585
"Q13_feat2",0.224367837521202,-0.287977641029491,-0.31543628285317,-0.779886369903602,0.0621290265875915,0.126393762177202,0.126886121810839,-0.1683638377982,0.0903835549337949,-0.012504559440791,-0.132052285342408,-0.017186990314075,0.0785541333320578,-0.140409790834625,-0.242312692523203,0.121649588492472,-0.170134876049601,-0.0246717978379262,0.0131296937189612,0.0502470304036927,-0.126459493409555,0.162622994728346,-0.221212682989731,0.395409515979641,-0.315918494767888
"Q13_feat4",-0.231469355911113,0.30451864435627,0.331941821821023,1,-0.0435240374684815,-0.137536288766338,-0.108934085164298,0.187134811439703,-0.105335996227408,0.00228109830044383,0.15249623860427,0.0280861436002293,-0.0966134383265802,0.152264508205792,0.215854744598971,-0.0860462062960845,0.179087109936396,0.0217444765074815,0.0090181957645209,-0.0255809321251732,0.143829718383344,-0.182999830870655,0.262038344154831,-0.329775077132386,0.393562094632691
"Smart_Phone_Q1_feat1",0.0786206564831847,-0.0818726638158066,-0.0947210438993485,-0.0795018819019764,0.321602129240269,0.335895253695927,0.32489527380991,0.05086806356874,0.405808953196124,0.388224635261466,-0.0452929935880776,0.276424295578719,0.273180661321564,0.0473054135871213,0.161731525327687,0.321237851919572,-0.00116195826858399,0.361631122041843,0.313686458786973,0.352630433872236,-0.0392681238975646,0.338244336800691,0.111227890410477,0.284295212864894,0.126795454455582
