,selected_features
0,Q1_feat4
1,Q5_feat3
2,Q13_feat2
3,Laptop_Q5_feat1
4,Laptop_Q5_feat2
5,Laptop_Q5_feat3
6,Laptop_Q5_feat6
7,location_1
