,Q1_feat1,Q1_feat2,Q1_feat3,Q1_feat4,Q1_feat5,Q1_feat7,Q2_feat1,Q2_feat2,Q2_feat3,Q2_feat5,Q3_feat1,Q3_feat2,Q3_feat3,Q3_feat4,Q3_feat6,Q4_feat1,Q4_feat3,Q5_feat1,Q5_feat2,Q5_feat3,Q5_feat4,Q5_feat6,Q6_feat1,Q6_feat2,Q6_feat3,Q6_feat4,Q7_feat1,Q7_feat2,Q7_feat3,Q7_feat5,Q8_feat1,Q8_feat2,Q8_feat3,Q8_feat5,Q9_feat1,Q9_feat2,Q9_feat3,Q9_feat4,Q9_feat6,Q10_feat1,Q10_feat2,Q10_feat3,Q10_feat4,Q10_feat6,Q10_feat7,Q11_feat1,Q11_feat2,Q11_feat3,Q11_feat5,Q12_feat1,Q12_feat2,Q12_feat3,Q12_feat5,Q13_feat1,Q13_feat2,Q13_feat4,Smart Speaker_Q1_feat1,Smart Speaker_Q1_feat2,Smart Speaker_Q1_feat3,Smart Speaker_Q1_feat4,Smart Speaker_Q1_feat5,Smart Speaker_Q1_feat7,Smart Speaker_Q2_feat1,Smart Speaker_Q2_feat2,Smart Speaker_Q2_feat3,Smart Speaker_Q2_feat5,Smart Speaker_Q3_feat1,Smart Speaker_Q3_feat2,Smart Speaker_Q3_feat3,Smart Speaker_Q3_feat4,Smart Speaker_Q3_feat6,Smart Speaker_Q4_feat1,Smart Speaker_Q4_feat3,Smart Speaker_Q5_feat1,Smart Speaker_Q5_feat2,Smart Speaker_Q5_feat3,Smart Speaker_Q5_feat4,Smart Speaker_Q5_feat6,Smart Speaker_Q6_feat1,Smart Speaker_Q6_feat2,Smart Speaker_Q6_feat3,Smart Speaker_Q6_feat4,Smart Speaker_Q7_feat1,Smart Speaker_Q7_feat2,Smart Speaker_Q7_feat3,Smart Speaker_Q7_feat5,Smart Speaker_Q8_feat1,Smart Speaker_Q8_feat2,Smart Speaker_Q8_feat3,Smart Speaker_Q8_feat5,Smart Speaker_Q9_feat1,Smart Speaker_Q9_feat2,Smart Speaker_Q9_feat3,Smart Speaker_Q9_feat4,Smart Speaker_Q9_feat6,Smart Speaker_Q10_feat1,Smart Speaker_Q10_feat2,Smart Speaker_Q10_feat3,Smart Speaker_Q10_feat4,Smart Speaker_Q10_feat6,Smart Speaker_Q10_feat7,Smart Speaker_Q11_feat1,Smart Speaker_Q11_feat2,Smart Speaker_Q11_feat3,Smart Speaker_Q11_feat5,Smart Speaker_Q12_feat1,Smart Speaker_Q12_feat2,Smart Speaker_Q12_feat3,Smart Speaker_Q12_feat5,Smart Speaker_Q13_feat1,Smart Speaker_Q13_feat2,Smart Speaker_Q13_feat4
Q1_feat1,1.0,0.05308863521073832,0.09124224888299243,0.16362056973459607,0.21391665634308774,-0.1432029478239661,0.022170155744418787,0.1655559044197695,0.18808068924782914,-0.05793370618199033,0.10910610027233557,0.058466759456997426,0.07338679859984344,0.5441750336609359,-0.13231789187874157,0.014694785589573201,-0.014694785589573201,-0.0044284603669897836,0.05894639027930749,0.26184470702628965,0.22592314724017953,-0.07579693501996344,0.18349713631701556,0.11194784065377614,-0.017518752209814904,-0.06566193863043557,-0.0688819518716419,-0.13163529973248703,-0.026332177753395872,0.13386225826703396,0.29770596811698763,-0.022199989214956157,0.11659701888133409,-0.05928185229041269,0.00012162556457714002,-0.03289340286932515,0.04353962718306155,0.5428271407210693,-0.09503468355590469,0.10552752518798193,0.4196068548508939,0.1009995866257433,0.19822786164717318,0.07073239162685081,-0.13164575072444137,0.04878429486601279,0.02136478050847413,0.47809034381907944,-0.025805638875503766,0.03854894146297497,0.10488561952756743,0.03762805132092638,-0.02046427917054557,0.027000631025018394,-0.05977248971351788,0.09244932762195017,0.4017062995740975,0.14576615463133824,0.14576615463133824,0.14576615463133824,0.14576615463133824,,0.14576615463133824,0.2436699704020282,0.17923059899938593,0.28941199698106435,0.16329201021877443,0.16263361394129994,0.14576615463133824,0.40606942104831917,,0.20130903724725535,0.32973518834519827,0.17923059899938457,0.26754924800713203,0.34581080502740813,0.28848236458213006,,0.30106486091700735,0.28481199759560555,0.22168702520776137,0.10267039379976911,0.16329201021877507,0.10652337847828752,0.16764629225863611,0.3569600496308944,0.25349545657616224,0.34802581754054834,0.2661989447109014,0.1632920102187743,0.10652337847828752,0.16329201021877499,0.1632920102187751,0.4060694210483194,,0.14576615463133824,0.4017062995740975,0.14576615463133824,0.33895443400558223,,,0.14576615463133824,0.10652337847828752,0.40606942104831917,0.07245809948107076,0.16329201021877446,0.14576615463133824,0.10652337847828752,0.3722252068957709,0.14576615463133824,0.16263361394130024,0.35472723291697633
Q1_feat2,0.05308863521073832,1.0,-0.12585267054272,-0.06501380928793049,0.30489828655871665,-0.4989304800587203,0.13295062938853167,-0.08510786845451457,0.05063547320190646,-0.05821181085590831,0.1276333001528413,0.09185008726312095,0.17975747899912403,0.01775786004658005,-0.20478166978242834,0.12664976307621253,-0.12664976307621253,0.0801254145939903,0.10819203185354781,-0.1156648446560094,0.04076964010966406,-0.2640825608071806,0.08402835025947045,0.0065328144869950065,0.00632285250859267,-0.12864358944953716,-0.06347060242192133,-0.06381630210649505,-0.029844570714895047,0.07873618179944186,0.014266372282318227,0.030787603528168804,0.12876623155795358,-0.016251571272790883,0.060716734623909356,0.05124617956650361,0.32155153298640515,-0.039632388522355344,-0.26124256895778386,0.14909764903192538,0.07085731579501917,0.3104042193141689,0.14543416026105188,-0.048614238379483296,-0.2664870085889694,0.19766561810119793,0.3549864964401305,-0.060750180296404825,-0.23448469402754368,0.07594906031981534,0.036175672045087225,0.05332432494772379,-0.07957958474002906,0.10258933840854757,-0.017332075187660893,0.0037088967420876627,-0.01994650198731528,0.04183777874968656,0.04183777874968656,0.04183777874968656,0.04183777874968656,,0.04183777874968656,0.07985271543199925,-0.033965397725588084,-0.044363066366308976,0.04686804706074012,0.05963714525584433,0.04183777874968656,-0.02731976072199223,,-0.07438398466075868,0.03354823330820844,0.051442738302832476,-0.0045662973210013015,-0.01828301768188969,0.005088564349661618,,-0.021333452903644492,-0.01667216903268396,0.027820576066266457,0.029468440261745426,0.04686804706074023,0.04686804706074012,-0.12077990248488038,0.044012859236927826,0.013951003028749652,-0.039682311532209295,0.08571672470602712,0.04686804706074011,0.04686804706074012,0.04686804706074026,0.04686804706074028,-0.027319760721992246,,0.04183777874968656,-0.01994650198731528,0.04183777874968656,0.07787133989830805,,,0.04183777874968656,0.04686804706074012,-0.02731976072199223,0.02079691230367467,0.04686804706074013,0.04183777874968656,0.04686804706074012,-0.043041342193205656,0.04183777874968656,-0.014622569269461714,-0.014339423243133552
Q1_feat3,0.09124224888299243,-0.12585267054272,1.0,0.4518642232090018,0.08750618291447457,-0.0591812086640443,0.2780259227665605,0.4952023988005978,0.3214946578024072,-0.2731101425978703,0.1334878427684754,0.06836155261362784,0.06748668545162416,0.17453095114489345,-0.05468276238899984,0.09172341419720394,-0.09172341419720394,0.08715960555025146,0.17945172868707462,0.4064511508777666,0.38445263656099926,-0.031324454528866695,0.02707352717926723,0.24428737730812797,0.1713895793701871,0.02357036836575715,0.34466747508399564,0.3583927910662696,0.2700492859837734,-0.2868675149986098,0.36105275385679125,0.1508000275510112,0.21410362373312525,-0.11616046389935462,0.20609958772203388,0.24983570995377402,-0.03106871466662024,0.2842481835178219,-0.05918120866404443,0.17249093726419637,0.06525534739510362,0.06433266631018651,0.14232741715981653,0.21298448219383065,-0.0076067493022700765,0.20069086750112985,0.0501053158244567,0.2552421369275156,-0.09111543134174288,0.21315850072813403,0.4399865620720717,0.26118660596296506,-0.22828872134862405,0.19333679882670893,0.2868881571837531,-0.23328692334911824,0.002391911549260356,0.35271572695766124,0.35271572695766124,0.35271572695766124,0.35271572695766124,,0.35271572695766124,0.1317135855666801,0.2708996619501024,-0.08725637181409236,0.30613495902032856,0.21969050013789584,0.35271572695766124,0.009875822964273764,,0.11232333346438936,-0.08419323728152646,0.27089966195010234,0.08794201257019817,0.03872015463311847,0.07395487922678744,,0.049787410536215854,0.044363066366308816,0.17405840182597548,-0.03132445452886678,0.30613495902032895,0.30613495902032856,0.1680869727935863,-0.09321134755492766,0.06132584340520666,0.06278380674490652,0.11232333346438997,-0.049819942825979076,0.30613495902032856,0.30613495902032856,0.30613495902032883,0.009875822964273761,,0.35271572695766124,0.002391911549260356,0.35271572695766124,0.06806596701649184,,,0.35271572695766124,0.30613495902032856,0.009875822964273764,-0.022106766697217166,0.30613495902032856,0.35271572695766124,0.30613495902032856,-0.11263587119985355,0.35271572695766124,0.21969050013789634,-0.10727612011497242
Q1_feat4,0.16362056973459607,-0.06501380928793049,0.4518642232090018,1.0,0.1699305455929141,-0.06368710385659064,0.10612983574785702,0.34169839282513226,0.3824446304930597,-0.16071708543597224,0.16927498239372907,0.1710690012861953,0.22082382330996117,0.23692658321339888,-0.05884615819868063,-0.21557482902289735,0.21557482902289735,0.10868630104089043,0.14593468469489074,0.33244646813063905,0.3964519723982536,-0.03370941273193393,-0.07195885155629578,0.20228119364114458,0.22448660503106313,0.13278029642640696,0.29831405927446747,0.2834693677394369,0.2749997261224615,-0.2053511335972135,0.3513277479153683,0.0593674919439952,0.3166365776425442,-0.06224976723692498,0.24755613508858745,0.29515189877342773,0.052981226507289515,0.35600657052886187,0.007719648952313706,0.05682600285851561,0.03582684814212178,0.1410643800565724,0.21070658904897357,0.2462965169513097,-0.01647583696009138,0.07563307190923517,0.035136224833231276,0.3640398270549596,0.046240767031929225,0.06593843739360089,0.24756507077672102,0.3246299112336256,-0.11464724887444125,0.2371731001596853,0.32831140655786045,-0.26073107193907197,0.13548321827437804,0.3277609087575381,0.3277609087575381,0.3277609087575381,0.3277609087575381,,0.3277609087575381,0.26711427590880266,0.24905596247724343,-0.025521041787769153,0.28301216589257727,0.19949143602822944,0.3277609087575381,0.14603628797064433,,0.1424364189296797,0.05341678117818167,0.24905596247724338,0.15895936649492928,0.1199223457064282,0.18344619462662815,,0.031944296831893496,0.10354602119999975,0.35141552549100935,-0.033709412731933924,0.28301216589257777,0.28301216589257727,0.14920442101161652,0.07313664956359582,0.20636384783716857,0.18734375461321925,0.2867298967763045,-0.05361309686828366,0.28301216589257727,0.28301216589257727,0.2830121658925776,0.14603628797064444,,0.3277609087575381,0.13548321827437804,0.3277609087575381,0.2315325624412602,,,0.3277609087575381,0.28301216589257727,0.14603628797064433,-0.023789915386342213,0.28301216589257727,0.3277609087575381,0.28301216589257727,0.03790723695902273,0.3277609087575381,0.26641926236412544,0.013828303611691645
Q1_feat5,0.21391665634308774,0.30489828655871665,0.08750618291447457,0.1699305455929141,1.0,-0.19094065395649218,0.090324460466189,-0.06078673774974996,0.2130816601740065,-0.08464927715725969,0.22049707928514228,0.3112915441209535,0.24193556164412283,0.15173014191065531,-0.17642698833636122,-0.16207508015733152,0.16207508015733152,0.1227360266134405,0.04511030915718765,-0.01250148836102208,0.08531449259545482,-0.10106437444570275,0.08464927715725945,0.08932991294902479,0.07790251496145098,-0.06950766114535287,-0.0459547549247945,-0.0631349545095296,0.12123455900650544,0.13356108713628892,0.02131416825135928,0.234964175071675,0.27427209719010087,-0.15526475085202918,0.24931752842272062,0.0611183871767099,0.42250398549830653,0.143881078413197,-0.1909406539564923,0.038696362712849416,0.12870339460059746,0.30363570203928114,0.19778187702081035,0.0440903897723556,-0.14868583499837543,0.2207555904212997,0.3602191385651925,0.11864832844221482,-0.13211258200091053,-0.10228412369298079,0.05985384425879582,0.007180430456999156,0.1599936515778553,-0.061010912468355494,-0.07101226972659738,0.17323371679589575,0.16658705185930883,0.10932267489210416,0.10932267489210416,0.10932267489210416,0.10932267489210416,,0.10932267489210416,0.10525960713959762,0.08261263739559768,0.1369371564692161,0.12246683320126191,0.11078727987066833,0.10932267489210416,0.17257695112222543,,0.09449111825230687,0.12820564851709246,0.08261263739559772,0.12602959432854063,0.18545511907325823,0.11652233601949541,,0.1005707157400647,0.13597762664917443,0.18305679590835344,-0.012031473148297897,0.1224668332012621,0.06582592284567841,-0.009400494242236523,0.20180990590698636,0.16290451553126192,0.12110715884944948,0.1916069897893992,0.009185012490094466,0.06582592284567841,0.12246683320126196,0.122466833201262,0.17257695112222557,,0.10932267489210416,0.16658705185930883,0.10932267489210416,0.21108361680132853,,,0.10932267489210416,0.06582592284567841,0.17257695112222543,0.0543426097292814,0.0658259228456784,0.10932267489210416,0.06582592284567841,0.16370996663243273,0.10932267489210416,0.02069652481100432,0.17048442561958804
Q1_feat7,-0.1432029478239661,-0.4989304800587203,-0.0591812086640443,-0.06368710385659064,-0.19094065395649218,1.0,-0.10840727259799783,-0.05918120866404435,0.010286290231271296,0.08792665655519222,-0.03613339409647973,-0.13527316987477145,-0.20633327161533987,-0.10740636056688861,0.44916112704692507,-0.05107539184552493,0.05107539184552493,-0.07199323295413822,-0.08553989227683002,-0.0018186989433012968,-0.04554875186742768,0.5292973096694755,-0.0400842110766312,0.002872709388861178,-0.024202994687341106,0.12002358091341922,0.11699507943667697,0.09995995265529652,0.04472485381570005,-0.037446329028220246,-0.01199502676680942,-0.06634264435420865,-0.11853433087886,0.10540925533894566,-0.050605498463350794,-0.03310633990436072,-0.2377736046450099,-0.08853408286294498,0.4126984126984104,-0.013746434980705796,-0.1289165132142094,-0.28793399053599616,-0.10143010324169724,0.1898022425790837,0.3373420267569843,-0.18393258239823204,-0.19231822942680926,-0.022654789423601322,0.3528251645047705,-0.0581063726299969,-0.02265478942360126,-0.04533559328171228,0.09906117235406461,-0.09384742644069274,-0.0381299148989489,0.09622504486493738,-0.011995026766809868,-0.020874143036171442,-0.020874143036171442,-0.020874143036171442,-0.020874143036171442,,-0.020874143036171442,-0.039840953644479524,-0.025666350116967235,0.01632585066594335,-0.023383897219429715,-0.02975478951182978,-0.020874143036171442,-0.008728994941747462,,0.05613127617121352,-0.05802588531856578,-0.02566635011696725,0.04442616583193199,0.0037646162621050167,-0.049507377148833624,,0.02614881801842451,0.02355465785684931,-0.04132372530670494,-0.014702703046374329,-0.023383897219429912,-0.023383897219429715,0.08296595461564382,-0.06145570045901635,0.03167064190487738,0.014075648762320911,-0.042766686606638724,-0.023383897219429673,-0.023383897219429715,-0.02338389721942979,-0.023383897219429836,-0.008728994941747469,,-0.020874143036171442,-0.011995026766809868,-0.020874143036171442,0.016325850665943248,,,-0.020874143036171442,-0.023383897219429715,-0.008728994941747462,-0.01037621343941148,-0.023383897219429715,-0.020874143036171442,-0.023383897219429715,-0.001818698943300974,-0.020874143036171442,-0.029754789511829905,0.0018601375838402322
Q2_feat1,0.022170155744418787,0.13295062938853167,0.2780259227665605,0.10612983574785702,0.090324460466189,-0.10840727259799783,1.0,0.22444801056675492,-0.11417554217363685,-0.5904164202457219,0.26555039627734683,0.04605410126188145,0.10378987475631946,-0.04813443466959758,-0.10016708449412655,0.11728253954140401,-0.11728253954140401,0.1325006534650601,0.1236419522674372,0.11227376758551841,0.22085504112853474,-0.057379677734726256,0.06422556241989189,0.14319776902497217,0.09970366442482233,-0.07697670615322767,0.28381357863845225,0.26073926073925896,0.17454597910215233,-0.23089260379636423,0.20062514106460064,0.12427819427022481,0.1276136294380734,-0.18698939800169062,0.1261397298733008,0.18370295918325896,-0.08074369843710297,0.021491586588536435,-0.004223659971350561,0.18093901662971323,-0.13081056384610867,0.045285366969359586,0.04164108914772592,0.09775081639469431,0.0450298921197651,0.2300912409565259,0.020848694723036496,-0.0034447005809221543,-0.09672840511651337,0.2817439510610394,0.20897850190928582,0.07263967277766589,-0.17804051196359352,0.06150490413287791,0.05831040863213109,-0.05120915564991885,-0.15928420290583567,0.1925529767138236,0.1925529767138236,0.1925529767138236,0.1925529767138236,,0.1925529767138236,0.031299083249923906,0.18060428870910608,-0.20417528703169197,0.154311421342999,0.07917469145275939,0.1925529767138236,-0.14865301191113622,,-0.02655289552218029,-0.17204728960378968,0.12445001406845954,-0.05341514321079889,-0.10885454240812699,-0.00752768377740309,,-0.06957954105640704,-0.04862194446209157,-0.01661595709516542,-0.057379677734726124,0.154311421342999,0.154311421342999,0.030567404539639378,-0.18779324842562664,-0.024880480181393327,-0.1034443123918752,-0.02655289552217996,-0.09125944272973074,0.154311421342999,0.15431142134299866,0.1543114213429988,-0.1486530119111363,,0.1925529767138236,-0.15928420290583567,0.1925529767138236,-0.12380841873198287,,,0.1925529767138236,0.154311421342999,-0.14865301191113622,-0.04049485195900667,0.15431142134299897,0.1925529767138236,0.154311421342999,-0.2219665290196454,0.1925529767138236,0.07917469145275935,-0.21250500991528887
Q2_feat2,0.1655559044197695,-0.08510786845451457,0.4952023988005978,0.34169839282513226,-0.06078673774974996,-0.05918120866404435,0.22444801056675492,1.0,0.15373015201834317,-0.3223174656815916,0.05982303180888369,0.14635997608027784,-0.09385840561272041,0.17453095114489325,0.026712843695775687,0.09172341419720383,-0.09172341419720383,0.0015426478858450504,0.26987584878425863,0.4756627538214495,0.38445263656099976,-0.031324454528866716,-0.07134111898817425,0.38094057541353943,0.19697453675167356,-0.020348519452451478,0.28901356233664244,0.3316038349663666,0.16367245698027957,-0.3360068578455937,0.3936582849756585,0.12555296411486933,0.1622543123288438,-0.1974727886289032,0.057959551033763324,0.3506261287669019,-0.2896003483583384,0.28424818351782133,0.01632585066594324,0.14633452464626454,0.21243504239073654,-0.07687208431979939,0.1147561373958731,0.21298448219383084,-0.0076067493022699655,0.045142933288284136,-0.1531940596095011,0.31682361197570147,-0.09111543134174303,0.16401915788114976,0.4707772995961644,0.20553269321561216,-0.2530902225354088,0.09413079407957142,0.2868881571837534,-0.2332869233491179,0.06760297378699345,0.35271572695766146,0.35271572695766146,0.35271572695766146,0.35271572695766146,,0.35271572695766146,0.18586250407742683,0.3522952680348789,-0.08725637181409239,0.3061349590203286,0.2904614448340592,0.35271572695766146,0.043094500207740416,,0.21404271586745605,-0.08419323728152649,0.2708996619501025,0.1349048605200564,0.038720154633118495,0.16367063435436532,,0.13271306538431865,0.12585267054271987,0.12163848778768703,-0.03132445452886677,0.3061349590203291,0.3951236844819053,0.22880458221274771,-0.09321134755492777,0.10437027007715413,0.10104499720827274,0.11232333346438976,-0.04981994282597912,0.3951236844819053,0.3061349590203286,0.3061349590203289,0.04309450020774045,,0.35271572695766146,0.06760297378699345,0.35271572695766146,0.029235382308845696,,,0.35271572695766146,0.3951236844819053,0.043094500207740416,-0.022106766697217155,0.3061349590203286,0.35271572695766146,0.3951236844819053,-0.07803006972801275,0.35271572695766146,0.2904614448340599,-0.07188183335092399
Q2_feat3,0.18808068924782914,0.05063547320190646,0.3214946578024072,0.3824446304930597,0.2130816601740065,0.010286290231271296,-0.11417554217363685,0.15373015201834317,1.0,-0.5362107860181968,0.14220119010638996,0.13567629631761474,0.12896407357750717,0.18084875013564655,-0.09097082883872538,-0.03107225570548175,0.03107225570548175,0.10885986346150674,0.06578211469278607,0.20358215747179392,0.21994028014519745,-0.05211169785353061,0.004719804086650733,0.1254503871951403,0.15108256431127967,0.009768243068876753,0.10838744518792678,0.059433843871208016,0.12569300449217666,-0.05690094605269322,0.1788518766055229,0.024567109003346316,0.19590142131829733,-0.02230498683727343,0.2625595226614391,0.06150761844062482,0.1079949153552382,0.19695495250243622,-0.09845449221359553,0.023924849519776338,0.06287857725723037,0.15891502083696715,0.1566797802163785,0.20534878528839562,-0.07261964685367868,0.17745007332069354,0.1304697122684757,0.2617777374937631,-0.07833550020068628,0.10997661842117226,0.2174347459889347,0.24864899988150993,-0.11066954961800576,0.12149516911335018,0.15051796193902786,-0.048358738391037555,0.06146050295922174,0.21201818796531272,0.21201818796531272,0.21201818796531272,0.21201818796531272,,0.21201818796531272,0.13172644680355988,0.14347140667600028,-0.014034353765719529,0.1734315644876151,0.14933854165050212,0.21201818796531272,0.07499175225250163,,0.10477726651391477,-0.0069066512689101,0.2020819655546817,0.03668900068753263,0.07597636141446248,0.01833290099790863,,0.015907910453667923,0.06672101502443607,0.23099400467253528,-0.052111697853530765,0.23750970314994335,0.1734315644876151,0.09419416492311523,-0.0005243650268743405,0.09454077455912148,0.08924740076297773,0.14139981985683525,-0.018802851499370565,0.1734315644876151,0.17343156448761587,0.173431564487616,0.07499175225250168,,0.21201818796531272,0.06146050295922174,0.21201818796531272,0.1257694010543323,,,0.21201818796531272,0.1734315644876151,0.07499175225250163,-0.03677705370997737,0.1734315644876151,0.21201818796531272,0.1734315644876151,0.00423327737654023,0.21201818796531272,0.09837848593577243,0.017515732526899638
Q2_feat5,-0.05793370618199033,-0.05821181085590831,-0.2731101425978703,-0.16071708543597224,-0.08464927715725969,0.08792665655519222,-0.5904164202457219,-0.3223174656815916,-0.5362107860181968,1.0,-0.1990152285405858,-0.10132261633741743,-0.02841936060817544,0.011380901354662852,0.11808145734649654,-0.03625731988287685,0.03625731988287685,-0.10018818005457479,-0.026619279014975263,-0.11327421866522068,-0.09552982393098906,0.09718509812251751,0.07565908270133614,-0.1995814533903286,-0.12255285559116975,0.05737446389712494,-0.2066095788135766,-0.166068954257149,-0.07898266537236756,0.22972913700211792,-0.18338182902310335,-0.043667299502499604,-0.10350449281177002,0.16437573192151364,-0.14152055917897027,-0.13925203136026104,0.17052964912650842,-0.03275276629862775,0.040084211076631904,0.000895843744077954,0.0949956268499869,-0.011399591736868022,0.02407970660064419,-0.08934933779405337,-0.020833777503274708,-0.24144706135686797,0.044429930464455925,-0.07879122014642989,0.15378650940004984,-0.21416141160087548,-0.27388611515527617,-0.08318843667551581,0.21624282870636582,-0.03519103272999208,-0.135200314320666,0.07614671824662657,0.10584936368580165,-0.11368643921903382,-0.11368643921903382,-0.11368643921903382,-0.11368643921903382,,-0.11368643921903382,-0.04543703220402716,-0.13978614343548135,0.16975576515561586,-0.07097062609201986,-0.07236979201062199,-0.11368643921903382,0.10580821042131051,,-0.007340941791749864,0.1337029906452185,-0.08821262327908612,0.10167723939041079,0.09506805390983071,0.04301806169307832,,0.09737695656975236,0.032395271452346136,-0.0589902431014215,0.09718509812251735,-0.1273552646129805,-0.12735526461298044,0.0011883125968393153,0.14331316333682562,0.01663795956089959,0.0593435860096542,0.024884548446609967,0.09818328947086183,-0.12735526461298044,-0.07097062609201986,-0.07097062609201993,0.1058082104213107,,-0.11368643921903382,0.10584936368580165,-0.11368643921903382,0.09594478053003454,,,-0.11368643921903382,-0.12735526461298044,0.10580821042131051,0.06858693384942309,-0.07097062609201986,-0.11368643921903382,-0.12735526461298044,0.14984706056609892,-0.11368643921903382,-0.027528222319829872,0.12867021435221637
